assinante_hash,home_cluster,home_municipio,income_cluster,age_group,mobility_pattern,flag_flagship
52,PALHOCA_BR101_SUL,Palhoça,D,25-34,BAIXA,0
53,CBD_BEIRAMAR,Florianópolis,C,25-34,INTENSA,0
54,SAO_JOSE_CENTRO,São José,B,45-54,BAIXA,1
55,COQUEIROS,Florianópolis,A,55+,MODERADA,0
56,SAO_JOSE_CENTRO,São José,B,35-44,MODERADA,1
57,TRINDADE,Florianópolis,C,45-54,MODERADA,0
58,SAO_JOSE_CENTRO,São José,D,35-44,MODERADA,0
59,TRINDADE,Florianópolis,C,45-54,INTENSA,0
60,PALHOCA_CENTRO,Palhoça,C,55+,BAIXA,0
61,CBD_BEIRAMAR,Florianópolis,A,18-24,BAIXA,0
62,UFSC,Florianópolis,C,55+,INTENSA,0
63,INGLESES,Florianópolis,D,25-34,BAIXA,0
64,CBD_BEIRAMAR,Florianópolis,A,55+,MODERADA,0
65,PALHOCA_PEDRA_BRANCA,Palhoça,A,18-24,BAIXA,0
66,RESIDENCIAL_NORTE,Florianópolis,D,55+,INTENSA,0
67,PALHOCA_BR101_SUL,Palhoça,B,35-44,MODERADA,1
68,CBD_BEIRAMAR,Florianópolis,A,35-44,BAIXA,0
69,COQUEIROS,Florianópolis,B,35-44,BAIXA,0
70,CAMPECHE,Florianópolis,D,35-44,BAIXA,1
71,SAO_JOSE_KOBRASOL,São José,C,45-54,BAIXA,0
72,COQUEIROS,Florianópolis,B,35-44,MODERADA,1
73,CENTRO_HISTORICO,Florianópolis,C,45-54,BAIXA,0
74,SAO_JOSE_BARREIROS,São José,B,45-54,BAIXA,1
75,COQUEIROS,Florianópolis,D,55+,MODERADA,0
76,SAO_JOSE_KOBRASOL,São José,D,35-44,MODERADA,0
77,PALHOCA_CENTRO,Palhoça,D,18-24,BAIXA,0
78,TRINDADE,Florianópolis,B,35-44,INTENSA,0
79,TRINDADE,Florianópolis,C,45-54,INTENSA,0
80,COQUEIROS,Florianópolis,C,55+,BAIXA,0
81,SAO_JOSE_BARREIROS,São José,C,55+,INTENSA,1
82,SAO_JOSE_BARREIROS,São José,B,18-24,MODERADA,0
83,UFSC,Florianópolis,C,18-24,MODERADA,1
84,COQUEIROS,Florianópolis,C,55+,INTENSA,0
85,CENTRO_HISTORICO,Florianópolis,B,55+,BAIXA,0
86,AEROPORTO_HLZ,Florianópolis,D,35-44,MODERADA,0
87,PALHOCA_CENTRO,Palhoça,C,45-54,MODERADA,0
88,CENTRO_HISTORICO,Florianópolis,C,35-44,BAIXA,1
89,CENTRO_HISTORICO,Florianópolis,D,55+,MODERADA,0
90,SC401_CORREDOR,Florianópolis,D,55+,INTENSA,0
91,PALHOCA_CENTRO,Palhoça,C,18-24,BAIXA,0
92,TRINDADE,Florianópolis,C,18-24,MODERADA,0
93,JURERE,Florianópolis,C,45-54,BAIXA,0
94,TRINDADE,Florianópolis,B,55+,MODERADA,0
95,ESTREITO_CAPOEIRAS,Florianópolis,C,35-44,BAIXA,0
96,COQUEIROS,Florianópolis,D,45-54,MODERADA,0
97,CBD_BEIRAMAR,Florianópolis,B,35-44,BAIXA,1
98,SC401_CORREDOR,Florianópolis,A,55+,BAIXA,0
99,CBD_BEIRAMAR,Florianópolis,C,18-24,BAIXA,0
100,CBD_BEIRAMAR,Florianópolis,C,55+,MODERADA,0
101,GOV_CELSO_RAMOS,Governador Celso Ramos,B,35-44,INTENSA,0
102,SAO_JOSE_KOBRASOL,São José,C,55+,MODERADA,0
103,AEROPORTO_HLZ,Florianópolis,C,18-24,MODERADA,0
104,PALHOCA_CENTRO,Palhoça,B,45-54,MODERADA,0
105,SAO_JOSE_KOBRASOL,São José,C,18-24,BAIXA,0
106,TRINDADE,Florianópolis,C,25-34,MODERADA,0
107,INGLESES,Florianópolis,B,35-44,INTENSA,1
108,JURERE,Florianópolis,C,55+,BAIXA,0
109,CANASVIEIRAS,Florianópolis,B,55+,BAIXA,0
110,SAO_JOSE_CENTRO,São José,A,18-24,INTENSA,0
111,RESIDENCIAL_NORTE,Florianópolis,C,45-54,BAIXA,0
112,ESTREITO_CAPOEIRAS,Florianópolis,B,45-54,MODERADA,0
113,RESIDENCIAL_NORTE,Florianópolis,C,55+,INTENSA,0
114,ESTREITO_CAPOEIRAS,Florianópolis,D,35-44,MODERADA,0
115,SAO_JOSE_KOBRASOL,São José,D,55+,MODERADA,1
116,RESIDENCIAL_NORTE,Florianópolis,C,55+,MODERADA,1
117,COQUEIROS,Florianópolis,B,25-34,MODERADA,0
118,UFSC,Florianópolis,C,25-34,BAIXA,0
119,NORTE_ILHA,Florianópolis,B,25-34,MODERADA,0
120,VIA_EXPRESSA_CORREDOR,Florianópolis,B,35-44,BAIXA,0
121,ESTREITO_CAPOEIRAS,Florianópolis,A,35-44,BAIXA,1
122,CENTRO_HISTORICO,Florianópolis,D,18-24,INTENSA,0
123,UFSC,Florianópolis,C,35-44,MODERADA,0
124,SANTO_AMARO,Santo Amaro da Imperatriz,D,18-24,INTENSA,0
125,COQUEIROS,Florianópolis,B,35-44,BAIXA,0
126,UFSC,Florianópolis,B,55+,BAIXA,0
127,CAMPECHE,Florianópolis,C,45-54,BAIXA,0
128,JURERE,Florianópolis,C,55+,BAIXA,0
129,ESTREITO_CAPOEIRAS,Florianópolis,D,25-34,MODERADA,0
130,SC401_CORREDOR,Florianópolis,C,55+,MODERADA,0
131,CAMPECHE,Florianópolis,B,25-34,BAIXA,0
132,CAMPECHE,Florianópolis,C,55+,BAIXA,0
133,SAO_JOSE_KOBRASOL,São José,D,35-44,INTENSA,0
134,SAO_JOSE_BARREIROS,São José,B,45-54,BAIXA,1
135,SAO_JOSE_ROCADO,São José,B,25-34,INTENSA,1
136,COQUEIROS,Florianópolis,B,35-44,BAIXA,0
137,TRINDADE,Florianópolis,C,55+,MODERADA,0
138,CBD_BEIRAMAR,Florianópolis,B,55+,BAIXA,0
139,CANASVIEIRAS,Florianópolis,C,18-24,INTENSA,0
140,CENTRO_HISTORICO,Florianópolis,B,35-44,MODERADA,0
141,CENTRO_HISTORICO,Florianópolis,A,45-54,BAIXA,1
142,LAGOA_CONCEICAO,Florianópolis,C,35-44,MODERADA,0
143,SAO_JOSE_CENTRO,São José,B,55+,MODERADA,0
144,SAO_JOSE_BARREIROS,São José,C,45-54,MODERADA,0
145,CBD_BEIRAMAR,Florianópolis,A,35-44,MODERADA,0
146,SAO_JOSE_CENTRO,São José,B,18-24,MODERADA,0
147,ESTREITO_CAPOEIRAS,Florianópolis,B,55+,INTENSA,0
148,PALHOCA_BR101_SUL,Palhoça,C,45-54,BAIXA,0
149,ESTREITO_CAPOEIRAS,Florianópolis,A,18-24,BAIXA,0
150,RESIDENCIAL_NORTE,Florianópolis,B,18-24,INTENSA,0
151,SC401_CORREDOR,Florianópolis,C,25-34,MODERADA,0
152,PALHOCA_CENTRO,Palhoça,D,55+,MODERADA,0
153,PALHOCA_CENTRO,Palhoça,A,35-44,MODERADA,0
154,CAMPECHE,Florianópolis,A,55+,INTENSA,1
155,TRINDADE,Florianópolis,C,55+,BAIXA,0
156,SAO_JOSE_CENTRO,São José,D,18-24,BAIXA,0
157,TRINDADE,Florianópolis,B,25-34,BAIXA,0
158,TRINDADE,Florianópolis,C,25-34,INTENSA,0
159,PALHOCA_BR101_SUL,Palhoça,C,25-34,MODERADA,0
160,ESTREITO_CAPOEIRAS,Florianópolis,C,55+,BAIXA,0
161,SAO_JOSE_CENTRO,São José,C,35-44,BAIXA,0
162,PALHOCA_CENTRO,Palhoça,B,18-24,MODERADA,0
163,PALHOCA_PEDRA_BRANCA,Palhoça,C,55+,INTENSA,0
164,JURERE,Florianópolis,A,55+,INTENSA,1
165,LAGOA_CONCEICAO,Florianópolis,C,55+,MODERADA,0
166,NORTE_ILHA,Florianópolis,B,35-44,INTENSA,1
167,TRINDADE,Florianópolis,B,55+,INTENSA,0
168,INGLESES,Florianópolis,C,45-54,BAIXA,0
169,PALHOCA_CENTRO,Palhoça,C,18-24,MODERADA,0
170,TRINDADE,Florianópolis,A,45-54,INTENSA,1
171,COQUEIROS,Florianópolis,D,35-44,BAIXA,0
172,SAO_JOSE_BARREIROS,São José,A,35-44,MODERADA,1
173,CBD_BEIRAMAR,Florianópolis,B,35-44,BAIXA,0
174,CENTRO_HISTORICO,Florianópolis,C,55+,BAIXA,0
175,PALHOCA_CENTRO,Palhoça,C,35-44,BAIXA,0
176,COQUEIROS,Florianópolis,D,18-24,MODERADA,0
177,RESIDENCIAL_NORTE,Florianópolis,C,25-34,INTENSA,0
178,BIGUACU_BR101_NORTE,Biguaçu,C,18-24,INTENSA,0
179,CENTRO_HISTORICO,Florianópolis,B,45-54,INTENSA,1
180,SAO_JOSE_KOBRASOL,São José,C,18-24,BAIXA,0
181,CBD_BEIRAMAR,Florianópolis,C,25-34,BAIXA,0
182,SAO_JOSE_CENTRO,São José,C,55+,MODERADA,0
183,NORTE_ILHA,Florianópolis,C,55+,BAIXA,0
184,COQUEIROS,Florianópolis,C,45-54,BAIXA,1
185,SANTO_AMARO,Santo Amaro da Imperatriz,B,18-24,BAIXA,0
186,UFSC,Florianópolis,B,25-34,MODERADA,0
187,AEROPORTO_HLZ,Florianópolis,C,45-54,MODERADA,0
188,CBD_BEIRAMAR,Florianópolis,C,55+,MODERADA,0
189,VIA_EXPRESSA_CORREDOR,Florianópolis,B,18-24,INTENSA,1
190,CENTRO_HISTORICO,Florianópolis,A,45-54,INTENSA,0
191,CAMPECHE,Florianópolis,D,18-24,MODERADA,0
192,PALHOCA_BR101_SUL,Palhoça,B,35-44,BAIXA,1
193,CAMPECHE,Florianópolis,D,55+,BAIXA,0
194,TRINDADE,Florianópolis,D,25-34,MODERADA,0
195,ESTREITO_CAPOEIRAS,Florianópolis,A,18-24,BAIXA,0
196,ESTREITO_CAPOEIRAS,Florianópolis,D,18-24,BAIXA,0
197,LAGOA_CONCEICAO,Florianópolis,B,55+,BAIXA,0
198,AEROPORTO_HLZ,Florianópolis,B,45-54,INTENSA,0
199,SAO_JOSE_CENTRO,São José,B,35-44,MODERADA,0
200,BIGUACU_BR101_NORTE,Biguaçu,C,55+,BAIXA,0
201,BIGUACU_BR101_NORTE,Biguaçu,D,55+,MODERADA,0
202,LAGOA_CONCEICAO,Florianópolis,D,35-44,BAIXA,0
203,VIA_EXPRESSA_CORREDOR,Florianópolis,C,18-24,MODERADA,0
204,JURERE,Florianópolis,C,45-54,MODERADA,0
205,COQUEIROS,Florianópolis,A,35-44,MODERADA,0
206,TRINDADE,Florianópolis,B,55+,INTENSA,0
207,SAO_JOSE_KOBRASOL,São José,C,35-44,INTENSA,0
208,SAO_JOSE_ROCADO,São José,A,18-24,BAIXA,0
209,PALHOCA_CENTRO,Palhoça,C,35-44,BAIXA,0
210,TRINDADE,Florianópolis,C,25-34,MODERADA,0
211,CAMPECHE,Florianópolis,C,55+,MODERADA,0
212,SAO_JOSE_CENTRO,São José,C,35-44,MODERADA,0
213,AEROPORTO_HLZ,Florianópolis,D,35-44,BAIXA,0
214,COQUEIROS,Florianópolis,D,55+,INTENSA,0
215,CENTRO_HISTORICO,Florianópolis,D,35-44,MODERADA,0
216,CBD_BEIRAMAR,Florianópolis,B,35-44,MODERADA,1
217,SAO_JOSE_CENTRO,São José,C,25-34,BAIXA,0
218,SAO_JOSE_ROCADO,São José,D,18-24,INTENSA,0
219,PALHOCA_PEDRA_BRANCA,Palhoça,B,55+,MODERADA,0
220,SC401_CORREDOR,Florianópolis,C,55+,BAIXA,0
221,SAO_JOSE_CENTRO,São José,D,18-24,MODERADA,1
222,COQUEIROS,Florianópolis,C,18-24,MODERADA,0
223,SC401_CORREDOR,Florianópolis,C,55+,MODERADA,0
224,CENTRO_HISTORICO,Florianópolis,C,25-34,BAIXA,0
225,INGLESES,Florianópolis,C,45-54,BAIXA,0
226,SANTO_AMARO,Santo Amaro da Imperatriz,D,35-44,MODERADA,0
227,CENTRO_HISTORICO,Florianópolis,A,55+,INTENSA,0
228,TRINDADE,Florianópolis,C,25-34,MODERADA,0
229,CBD_BEIRAMAR,Florianópolis,B,25-34,BAIXA,1
230,SAO_JOSE_KOBRASOL,São José,C,35-44,MODERADA,0
231,PALHOCA_CENTRO,Palhoça,D,55+,MODERADA,0
232,COQUEIROS,Florianópolis,A,25-34,MODERADA,0
233,SAO_JOSE_BARREIROS,São José,C,55+,MODERADA,0
234,LAGOA_CONCEICAO,Florianópolis,B,45-54,MODERADA,0
235,SANTO_AMARO,Santo Amaro da Imperatriz,C,55+,MODERADA,0
236,SAO_JOSE_BARREIROS,São José,B,45-54,MODERADA,0
237,PALHOCA_CENTRO,Palhoça,C,55+,INTENSA,0
238,CBD_BEIRAMAR,Florianópolis,C,45-54,MODERADA,0
239,PALHOCA_CENTRO,Palhoça,D,55+,MODERADA,0
240,RESIDENCIAL_NORTE,Florianópolis,C,45-54,BAIXA,0
241,COQUEIROS,Florianópolis,D,18-24,INTENSA,0
242,ESTREITO_CAPOEIRAS,Florianópolis,D,25-34,BAIXA,1
243,PALHOCA_PEDRA_BRANCA,Palhoça,B,25-34,BAIXA,1
244,SC401_CORREDOR,Florianópolis,C,35-44,INTENSA,0
245,PALHOCA_CENTRO,Palhoça,C,18-24,BAIXA,0
246,CAMPECHE,Florianópolis,B,55+,MODERADA,0
247,ANTONIO_CARLOS,Antônio Carlos,C,18-24,BAIXA,0
248,RESIDENCIAL_NORTE,Florianópolis,C,25-34,INTENSA,0
249,PALHOCA_PEDRA_BRANCA,Palhoça,D,35-44,BAIXA,0
250,RESIDENCIAL_NORTE,Florianópolis,C,55+,BAIXA,0
251,PALHOCA_PEDRA_BRANCA,Palhoça,C,45-54,MODERADA,0
252,RESIDENCIAL_NORTE,Florianópolis,D,18-24,BAIXA,0
253,TRINDADE,Florianópolis,B,35-44,MODERADA,0
254,PALHOCA_PEDRA_BRANCA,Palhoça,D,55+,MODERADA,0
255,COQUEIROS,Florianópolis,B,55+,BAIXA,0
256,CENTRO_HISTORICO,Florianópolis,A,35-44,INTENSA,1
257,PALHOCA_CENTRO,Palhoça,C,45-54,BAIXA,0
258,CANASVIEIRAS,Florianópolis,C,25-34,MODERADA,0
259,CBD_BEIRAMAR,Florianópolis,C,45-54,BAIXA,0
260,CBD_BEIRAMAR,Florianópolis,B,18-24,MODERADA,0
261,ESTREITO_CAPOEIRAS,Florianópolis,D,45-54,BAIXA,0
262,JURERE,Florianópolis,B,55+,MODERADA,1
263,GOV_CELSO_RAMOS,Governador Celso Ramos,D,55+,INTENSA,0
264,SAO_JOSE_CENTRO,São José,C,55+,BAIXA,0
265,BIGUACU_BR101_NORTE,Biguaçu,D,25-34,MODERADA,0
266,RESIDENCIAL_NORTE,Florianópolis,C,35-44,MODERADA,0
267,JURERE,Florianópolis,C,35-44,INTENSA,0
268,CBD_BEIRAMAR,Florianópolis,B,55+,INTENSA,0
269,PALHOCA_CENTRO,Palhoça,C,45-54,BAIXA,0
270,BIGUACU_BR101_NORTE,Biguaçu,C,55+,INTENSA,0
271,BIGUACU_BR101_NORTE,Biguaçu,D,35-44,MODERADA,0
272,CENTRO_HISTORICO,Florianópolis,B,45-54,MODERADA,0
273,UFSC,Florianópolis,C,18-24,INTENSA,0
274,SAO_JOSE_CENTRO,São José,B,55+,INTENSA,0
275,AEROPORTO_HLZ,Florianópolis,D,55+,BAIXA,0
276,INGLESES,Florianópolis,B,55+,INTENSA,0
277,PALHOCA_BR101_SUL,Palhoça,A,55+,MODERADA,0
278,CAMPECHE,Florianópolis,D,35-44,MODERADA,0
279,BIGUACU_BR101_NORTE,Biguaçu,B,35-44,BAIXA,1
280,TRINDADE,Florianópolis,C,18-24,INTENSA,0
281,CENTRO_HISTORICO,Florianópolis,B,18-24,BAIXA,0
282,VIA_EXPRESSA_CORREDOR,Florianópolis,C,25-34,BAIXA,0
283,PALHOCA_BR101_SUL,Palhoça,D,35-44,MODERADA,0
284,TRINDADE,Florianópolis,B,55+,BAIXA,1
285,ESTREITO_CAPOEIRAS,Florianópolis,C,55+,BAIXA,0
286,COQUEIROS,Florianópolis,D,55+,MODERADA,0
287,CAMPECHE,Florianópolis,D,55+,BAIXA,0
288,PALHOCA_PEDRA_BRANCA,Palhoça,C,55+,BAIXA,0
289,RESIDENCIAL_NORTE,Florianópolis,A,35-44,BAIXA,1
290,PALHOCA_BR101_SUL,Palhoça,B,25-34,BAIXA,0
291,PALHOCA_CENTRO,Palhoça,C,45-54,BAIXA,0
292,CENTRO_HISTORICO,Florianópolis,B,18-24,INTENSA,0
293,SC401_CORREDOR,Florianópolis,C,25-34,BAIXA,0
294,CENTRO_HISTORICO,Florianópolis,B,18-24,MODERADA,1
295,AEROPORTO_HLZ,Florianópolis,B,35-44,INTENSA,1
296,INGLESES,Florianópolis,C,18-24,INTENSA,0
297,LAGOA_CONCEICAO,Florianópolis,C,35-44,BAIXA,0
298,UFSC,Florianópolis,B,25-34,MODERADA,0
299,CBD_BEIRAMAR,Florianópolis,B,18-24,MODERADA,1
300,INGLESES,Florianópolis,C,25-34,INTENSA,0
301,BIGUACU_BR101_NORTE,Biguaçu,C,25-34,MODERADA,0
302,RESIDENCIAL_NORTE,Florianópolis,D,55+,MODERADA,1
303,SAO_JOSE_ROCADO,São José,C,55+,INTENSA,0
304,SC401_CORREDOR,Florianópolis,B,18-24,MODERADA,0
305,AEROPORTO_HLZ,Florianópolis,A,25-34,MODERADA,1
306,CBD_BEIRAMAR,Florianópolis,C,55+,BAIXA,0
307,TRINDADE,Florianópolis,C,35-44,MODERADA,1
308,UFSC,Florianópolis,B,25-34,MODERADA,0
309,SC401_CORREDOR,Florianópolis,D,55+,MODERADA,1
310,ESTREITO_CAPOEIRAS,Florianópolis,B,18-24,INTENSA,0
311,CBD_BEIRAMAR,Florianópolis,D,18-24,MODERADA,0
312,TRINDADE,Florianópolis,C,55+,BAIXA,0
313,CENTRO_HISTORICO,Florianópolis,C,45-54,INTENSA,0
314,BIGUACU_BR101_NORTE,Biguaçu,D,45-54,BAIXA,0
315,ANTONIO_CARLOS,Antônio Carlos,D,45-54,BAIXA,0
316,LAGOA_CONCEICAO,Florianópolis,B,25-34,MODERADA,1
317,GOV_CELSO_RAMOS,Governador Celso Ramos,C,25-34,MODERADA,0
318,TRINDADE,Florianópolis,D,35-44,MODERADA,0
319,CBD_BEIRAMAR,Florianópolis,C,55+,MODERADA,0
320,SC401_CORREDOR,Florianópolis,C,25-34,MODERADA,0
321,NORTE_ILHA,Florianópolis,C,18-24,BAIXA,0
322,TRINDADE,Florianópolis,B,35-44,BAIXA,0
323,LAGOA_CONCEICAO,Florianópolis,B,18-24,MODERADA,0
324,PALHOCA_PEDRA_BRANCA,Palhoça,C,35-44,BAIXA,0
325,AEROPORTO_HLZ,Florianópolis,B,18-24,INTENSA,1
326,SAO_JOSE_KOBRASOL,São José,C,55+,MODERADA,1
327,SAO_JOSE_CENTRO,São José,C,18-24,BAIXA,0
328,CENTRO_HISTORICO,Florianópolis,C,18-24,MODERADA,0
329,CENTRO_HISTORICO,Florianópolis,C,55+,MODERADA,0
330,PALHOCA_CENTRO,Palhoça,B,35-44,MODERADA,1
331,PALHOCA_CENTRO,Palhoça,B,55+,INTENSA,1
332,ESTREITO_CAPOEIRAS,Florianópolis,C,35-44,BAIXA,0
333,PALHOCA_PEDRA_BRANCA,Palhoça,D,25-34,MODERADA,1
334,CANASVIEIRAS,Florianópolis,B,55+,MODERADA,0
335,SAO_JOSE_BARREIROS,São José,D,18-24,BAIXA,0
336,SAO_JOSE_KOBRASOL,São José,C,45-54,BAIXA,0
337,LAGOA_CONCEICAO,Florianópolis,B,45-54,MODERADA,0
338,SAO_JOSE_ROCADO,São José,B,55+,MODERADA,1
339,PALHOCA_CENTRO,Palhoça,C,55+,MODERADA,0
340,PALHOCA_CENTRO,Palhoça,C,35-44,MODERADA,0
341,ANTONIO_CARLOS,Antônio Carlos,B,35-44,INTENSA,1
342,SAO_JOSE_BARREIROS,São José,C,25-34,BAIXA,0
343,VIA_EXPRESSA_CORREDOR,Florianópolis,D,35-44,BAIXA,0
344,COQUEIROS,Florianópolis,C,45-54,INTENSA,1
345,TRINDADE,Florianópolis,D,18-24,INTENSA,0
346,SAO_JOSE_ROCADO,São José,B,45-54,BAIXA,1
347,SAO_JOSE_CENTRO,São José,C,35-44,MODERADA,0
348,CENTRO_HISTORICO,Florianópolis,D,18-24,MODERADA,0
349,NORTE_ILHA,Florianópolis,C,35-44,INTENSA,0
350,JURERE,Florianópolis,C,25-34,INTENSA,0
351,ESTREITO_CAPOEIRAS,Florianópolis,B,18-24,INTENSA,1
352,CENTRO_HISTORICO,Florianópolis,C,25-34,BAIXA,0
353,BIGUACU_BR101_NORTE,Biguaçu,B,18-24,MODERADA,0
354,SAO_JOSE_BARREIROS,São José,B,55+,MODERADA,0
355,INGLESES,Florianópolis,A,45-54,BAIXA,0
356,CAMPECHE,Florianópolis,D,18-24,INTENSA,0
357,COQUEIROS,Florianópolis,C,45-54,MODERADA,1
358,LAGOA_CONCEICAO,Florianópolis,C,18-24,BAIXA,0
359,CANASVIEIRAS,Florianópolis,D,35-44,MODERADA,0
360,CAMPECHE,Florianópolis,C,18-24,MODERADA,0
361,CBD_BEIRAMAR,Florianópolis,D,18-24,MODERADA,1
362,VIA_EXPRESSA_CORREDOR,Florianópolis,B,35-44,BAIXA,0
363,CAMPECHE,Florianópolis,B,35-44,BAIXA,0
364,BIGUACU_BR101_NORTE,Biguaçu,D,45-54,BAIXA,0
365,CANASVIEIRAS,Florianópolis,C,35-44,INTENSA,0
366,CENTRO_HISTORICO,Florianópolis,C,18-24,BAIXA,0
367,TRINDADE,Florianópolis,B,35-44,BAIXA,0
368,SC401_CORREDOR,Florianópolis,D,18-24,MODERADA,0
369,UFSC,Florianópolis,C,25-34,INTENSA,0
370,CENTRO_HISTORICO,Florianópolis,C,55+,BAIXA,0
371,AEROPORTO_HLZ,Florianópolis,A,45-54,MODERADA,0
372,BIGUACU_BR101_NORTE,Biguaçu,D,25-34,MODERADA,0
373,SAO_JOSE_BARREIROS,São José,B,45-54,MODERADA,0
374,PALHOCA_CENTRO,Palhoça,C,25-34,MODERADA,0
375,CANASVIEIRAS,Florianópolis,C,45-54,INTENSA,0
376,JURERE,Florianópolis,C,55+,BAIXA,0
377,CAMPECHE,Florianópolis,D,25-34,MODERADA,0
378,SAO_JOSE_BARREIROS,São José,B,25-34,MODERADA,0
379,PALHOCA_CENTRO,Palhoça,D,55+,BAIXA,0
380,SAO_JOSE_CENTRO,São José,D,55+,BAIXA,0
381,GOV_CELSO_RAMOS,Governador Celso Ramos,D,35-44,MODERADA,0
382,UFSC,Florianópolis,C,55+,BAIXA,1
383,CBD_BEIRAMAR,Florianópolis,C,45-54,MODERADA,0
384,AEROPORTO_HLZ,Florianópolis,C,35-44,MODERADA,1
385,RESIDENCIAL_NORTE,Florianópolis,C,18-24,MODERADA,0
386,PALHOCA_PEDRA_BRANCA,Palhoça,B,25-34,BAIXA,1
387,INGLESES,Florianópolis,B,35-44,MODERADA,0
388,PALHOCA_PEDRA_BRANCA,Palhoça,C,18-24,MODERADA,0
389,ESTREITO_CAPOEIRAS,Florianópolis,B,18-24,BAIXA,0
390,SAO_JOSE_BARREIROS,São José,C,25-34,BAIXA,0
391,SAO_JOSE_BARREIROS,São José,C,25-34,INTENSA,1
392,VIA_EXPRESSA_CORREDOR,Florianópolis,D,25-34,BAIXA,0
393,SAO_JOSE_CENTRO,São José,C,35-44,MODERADA,0
394,ESTREITO_CAPOEIRAS,Florianópolis,C,35-44,MODERADA,0
395,RESIDENCIAL_NORTE,Florianópolis,B,55+,INTENSA,0
396,TRINDADE,Florianópolis,D,35-44,INTENSA,0
397,PALHOCA_PEDRA_BRANCA,Palhoça,C,25-34,BAIXA,0
398,ANTONIO_CARLOS,Antônio Carlos,D,25-34,MODERADA,0
399,CBD_BEIRAMAR,Florianópolis,C,25-34,MODERADA,0
400,NORTE_ILHA,Florianópolis,D,35-44,INTENSA,1
401,SAO_JOSE_ROCADO,São José,C,25-34,MODERADA,0
402,SAO_JOSE_KOBRASOL,São José,C,35-44,MODERADA,0
403,AEROPORTO_HLZ,Florianópolis,C,55+,MODERADA,0
